monthly_upi_transactions,avg_transaction_amount,bill_payment_timeliness,mobile_recharge_frequency,age,location_type,income,occupation,savings_ratio,spending_ratio,payment_delay_days,loan_repaid,digital_activity_score,financial_discipline_score,is_underbanked
23,1029.65,0.8,14,58,rural,53746.32,gig_worker,0.126,0.774,12,1,23.68195,0.463,0
29,50.0,0.629,9,54,urban,72850.66,artisan,0.01,0.714,12,1,1.45,0.3195,0
22,764.46,1.0,7,23,rural,45604.71,nurse,0.1,0.506,10,0,16.818120000000004,0.55,0
22,934.03,0.629,12,43,urban,41107.27,farmer,0.31,0.725,10,0,20.548659999999998,0.46950000000000003,0
21,1225.28,0.682,7,51,rural,61758.1,small_business,0.346,0.856,4,0,25.730880000000003,0.514,0
19,662.57,0.577,13,23,urban,25165.27,artisan,0.349,0.772,8,1,12.588830000000002,0.46299999999999997,0
17,789.98,0.969,6,54,urban,34007.69,farmer,0.116,0.575,14,1,13.42966,0.5425,0
27,1366.37,0.913,3,50,rural,11759.91,driver,0.269,1.111,10,1,36.89199,0.591,0
21,728.37,0.623,13,39,urban,19422.16,farmer,0.448,0.758,14,0,15.295770000000001,0.5355,0
11,485.65,0.653,6,38,urban,76620.69,teacher,0.333,0.567,14,1,5.342149999999999,0.493,0
23,1267.87,0.963,9,23,urban,54461.66,teacher,0.01,0.973,20,1,29.161009999999997,0.4865,0
12,1277.21,1.0,11,23,urban,17327.37,small_business,0.213,0.356,15,1,15.32652,0.6065,0
23,50.0,0.901,10,21,urban,63506.92,nurse,0.17,0.47,4,1,1.15,0.5355,0
16,979.47,1.0,3,47,urban,29333.44,farmer,0.01,0.591,4,0,15.671520000000001,0.505,0
27,346.31,0.772,3,28,urban,53537.11,teacher,0.44,0.855,0,0,9.350370000000002,0.606,0
26,1049.96,0.629,11,47,urban,53268.24,nurse,0.012,0.561,2,1,27.298959999999997,0.3205,0
16,1326.29,0.79,7,48,rural,71969.83,artisan,0.205,0.657,11,0,21.22064,0.4975,0
17,1159.62,1.0,7,41,urban,32320.86,artisan,0.416,0.514,14,0,19.71354,0.708,0
20,1208.97,0.718,5,26,rural,28675.87,teacher,0.088,0.806,1,0,24.1794,0.40299999999999997,0
16,519.82,0.758,8,20,rural,6000.0,nurse,0.215,0.766,13,1,8.317120000000001,0.4865,0
15,621.21,1.0,8,48,urban,39808.08,nurse,0.293,0.419,9,1,9.318150000000001,0.6465,0
33,1146.34,1.0,11,57,rural,55055.94,teacher,0.1,0.672,16,0,37.82921999999999,0.55,0
17,885.47,0.846,11,54,rural,57515.53,gig_worker,0.134,0.725,16,0,15.05299,0.49,0
14,78.28,1.0,15,53,rural,64543.19,driver,0.265,0.646,10,0,1.09592,0.6325000000000001,0
19,1295.71,0.606,2,41,rural,47216.5,nurse,0.316,0.667,5,1,24.61849,0.46099999999999997,0
19,118.3,0.94,11,48,urban,51086.06,artisan,0.338,0.556,10,1,2.2477,0.639,0
28,1012.38,0.839,6,23,rural,43226.17,gig_worker,0.075,0.83,14,1,28.34664,0.45699999999999996,0
19,953.63,0.896,5,19,rural,54734.19,farmer,0.01,0.542,16,0,18.11897,0.453,0
32,1440.79,0.578,4,37,rural,25183.64,gig_worker,0.348,0.85,6,1,46.10528,0.46299999999999997,0
22,732.11,0.541,7,45,urban,16647.63,teacher,0.407,0.68,17,0,16.10642,0.474,0
13,50.0,0.719,4,28,rural,27082.72,gig_worker,0.609,0.591,7,0,0.65,0.6639999999999999,0
27,921.65,0.574,5,21,rural,45845.23,driver,0.689,0.669,26,1,24.88455,0.6315,0
21,1016.3,0.649,8,32,urban,18592.36,teacher,0.484,0.695,4,1,21.342299999999998,0.5665,0
20,1386.81,1.0,5,23,urban,30601.61,small_business,0.065,0.618,2,0,27.736199999999997,0.5325,0
14,586.05,1.0,11,47,urban,31176.7,farmer,0.191,0.612,14,1,8.204699999999999,0.5955,0
21,1201.6,0.882,13,55,rural,56072.78,artisan,0.317,0.5,13,0,25.2336,0.5995,0
14,1298.52,0.901,11,19,rural,53881.72,small_business,0.289,0.939,0,1,18.17928,0.595,0
16,483.92,0.895,9,32,rural,43268.75,gig_worker,0.195,0.534,7,1,7.74272,0.545,0
18,1008.5,0.786,10,28,urban,50119.17,nurse,0.419,0.461,12,1,18.153,0.6025,0
21,114.01,0.878,2,25,rural,50474.23,gig_worker,0.145,0.758,8,0,2.39421,0.5115,0
15,1132.05,0.99,2,43,urban,35454.85,student,0.254,0.34,14,1,16.98075,0.622,0
15,961.19,0.778,15,22,urban,32235.01,artisan,0.231,0.685,10,0,14.41785,0.5045000000000001,0
20,230.65,1.0,9,23,rural,69660.36,artisan,0.292,0.48,13,0,4.613,0.646,0
18,651.53,0.776,2,43,rural,6000.0,student,0.302,0.76,9,0,11.72754,0.539,0
20,1392.47,0.641,3,21,rural,41564.79,nurse,0.091,0.645,15,0,27.849400000000003,0.366,0
14,949.92,0.867,6,36,rural,38331.91,small_business,0.01,0.52,15,0,13.298879999999999,0.4385,0
27,508.6,0.785,4,37,urban,52079.13,small_business,0.151,0.649,9,0,13.7322,0.468,0
8,466.11,0.774,8,50,urban,62439.12,nurse,0.257,0.759,7,0,3.72888,0.5155000000000001,0
17,1351.58,0.978,8,37,rural,75421.17,driver,0.294,0.599,5,1,22.976860000000002,0.636,0
22,604.48,0.755,2,29,rural,40349.21,student,0.128,0.613,6,1,13.298560000000002,0.4415,0
18,960.31,0.652,15,18,urban,41554.76,farmer,0.264,0.847,10,0,17.28558,0.458,0
22,643.51,0.75,2,43,urban,48526.98,teacher,0.26,0.755,13,0,14.157219999999999,0.505,0
19,50.0,0.687,3,31,urban,32439.82,student,0.12,0.595,16,1,0.95,0.4035,0
27,523.38,0.685,14,55,rural,20683.73,small_business,0.196,0.695,0,0,14.131260000000001,0.4405,0
21,1418.98,0.996,11,54,urban,40267.49,farmer,0.04,0.622,0,0,29.79858,0.518,0
9,1921.97,0.636,2,28,urban,55416.7,teacher,0.01,0.866,6,0,17.297729999999998,0.323,0
14,463.31,0.841,5,53,urban,37627.38,gig_worker,0.403,0.373,8,1,6.48634,0.622,0
16,1016.66,0.76,1,30,urban,49441.84,teacher,0.25,0.779,0,1,16.26656,0.505,0
19,2014.37,0.8,7,60,rural,8361.29,small_business,0.169,0.767,9,1,38.27303,0.48450000000000004,0
12,1450.48,0.453,8,20,urban,42331.28,driver,0.277,0.548,0,0,17.40576,0.365,0
17,243.87,0.936,12,50,rural,34737.96,driver,0.29,0.517,8,1,4.14579,0.613,0
25,717.71,0.769,4,23,rural,19047.77,farmer,0.523,0.888,0,1,17.94275,0.646,0
21,978.84,0.995,7,27,rural,53829.83,gig_worker,0.421,0.642,4,0,20.55564,0.708,0
11,1486.36,0.892,9,22,urban,75221.62,farmer,0.273,0.939,9,1,16.34996,0.5825,0
17,248.38,0.829,7,40,rural,59819.26,nurse,0.542,0.497,12,0,4.22246,0.6855,0
23,1237.11,0.821,2,27,rural,60967.48,driver,0.206,0.664,8,1,28.453529999999997,0.5135,0
13,1201.78,1.0,2,19,rural,54824.59,farmer,0.402,0.578,0,0,15.62314,0.7010000000000001,0
21,698.01,0.675,10,30,rural,53636.13,nurse,0.14,0.604,10,1,14.658209999999999,0.40750000000000003,0
13,1922.07,0.873,10,57,urban,9610.23,gig_worker,0.228,0.742,2,0,24.986909999999998,0.5505,0
25,394.31,0.863,10,19,urban,39696.88,artisan,0.321,0.545,11,0,9.85775,0.592,0
23,1032.05,0.53,6,37,urban,51156.06,teacher,0.253,0.648,19,1,23.737149999999996,0.3915,0
23,949.7,0.809,8,18,urban,51565.29,farmer,0.264,0.543,5,1,21.843100000000003,0.5365,0
13,1038.0,0.54,12,54,urban,64890.71,nurse,0.258,0.789,22,1,13.494,0.399,0
26,1427.74,0.808,10,26,urban,23416.84,driver,0.416,1.026,12,1,37.12124,0.612,0
27,178.66,0.528,11,34,urban,52930.89,student,0.235,0.913,6,1,4.8238199999999996,0.3815,0
13,929.26,0.889,13,26,urban,22829.26,teacher,0.131,0.506,21,0,12.08038,0.51,0
17,1834.77,0.593,10,28,urban,38189.41,farmer,0.212,0.594,8,1,31.19109,0.40249999999999997,0
22,1249.12,0.818,14,32,urban,40884.67,driver,0.414,0.671,1,0,27.48064,0.616,0
11,519.56,0.528,11,41,urban,57526.28,artisan,0.348,0.312,3,0,5.71516,0.438,0
11,449.99,0.906,12,55,urban,55409.16,teacher,0.204,0.67,8,0,4.94989,0.555,0
11,1108.89,0.806,3,52,urban,44165.95,small_business,0.104,0.766,3,0,12.197790000000001,0.455,0
17,605.34,0.787,1,47,urban,6000.0,driver,0.137,0.677,5,1,10.29078,0.462,0
13,778.59,0.845,1,48,rural,50007.01,small_business,0.218,0.662,3,1,10.12167,0.5315,0
16,478.27,0.914,11,22,urban,37181.82,gig_worker,0.208,0.562,12,1,7.65232,0.561,0
25,1886.98,0.665,2,31,urban,67052.51,farmer,0.111,0.617,21,0,47.1745,0.388,0
27,1023.23,0.817,10,28,urban,62762.88,artisan,0.363,0.594,7,1,27.627209999999998,0.59,0
17,876.38,0.736,6,26,rural,25115.59,nurse,0.135,0.493,1,1,14.898459999999998,0.4355,0
25,50.0,1.0,2,51,rural,52479.14,farmer,0.084,0.847,7,1,1.25,0.542,0
24,437.24,0.747,6,29,rural,52834.39,driver,0.19,0.964,1,0,10.49376,0.4685,0
15,819.53,0.675,11,52,rural,51525.3,small_business,0.29,0.57,29,1,12.29295,0.48250000000000004,0
24,820.13,0.549,1,52,urban,49192.46,student,0.082,0.497,15,0,19.68312,0.3155,0
12,1680.45,0.772,9,18,urban,53342.78,small_business,0.228,0.544,18,0,20.1654,0.5,0
19,911.89,0.696,12,57,urban,69026.74,teacher,0.155,0.504,13,0,17.32591,0.4255,0
22,1369.15,0.885,15,39,rural,32075.15,farmer,0.171,0.595,0,0,30.1213,0.528,0
16,939.65,0.86,14,46,rural,25695.43,farmer,0.219,0.728,10,0,15.0344,0.5395,0
14,1280.5,0.916,7,25,rural,56088.87,driver,0.309,0.896,10,1,17.927,0.6125,0
12,50.0,0.593,1,28,urban,8099.48,student,0.221,0.394,15,0,0.6,0.407,0
21,221.75,0.328,9,58,rural,53772.43,small_business,0.613,0.85,10,1,4.65675,0.47050000000000003,0
19,1311.9,0.82,13,54,urban,50584.9,driver,0.323,0.679,2,0,24.9261,0.5715,0
19,1598.27,0.968,9,31,urban,6000.0,driver,0.281,0.297,22,1,30.36713,0.6245,0
13,50.0,0.749,11,47,urban,30545.94,gig_worker,0.175,0.453,13,0,0.65,0.46199999999999997,0
19,856.1,1.0,14,52,rural,70367.54,small_business,0.144,0.771,5,1,16.2659,0.572,0
19,100.22,0.798,10,38,urban,15770.82,driver,0.372,0.526,8,1,1.90418,0.585,0
16,517.92,0.688,11,54,rural,45826.65,small_business,0.01,0.61,11,1,8.286719999999999,0.349,0
23,50.0,0.895,6,22,urban,23911.7,driver,0.389,0.657,5,1,1.15,0.642,0
13,790.78,1.0,2,36,rural,29238.97,student,0.394,0.893,8,1,10.28014,0.6970000000000001,0
10,757.76,0.812,2,31,urban,76493.74,nurse,0.202,0.45,10,0,7.5776,0.507,0
21,751.7,0.956,12,43,urban,44222.0,student,0.393,0.796,6,1,15.7857,0.6745,0
21,703.67,0.744,14,21,rural,51305.11,student,0.177,0.909,13,0,14.77707,0.4605,0
21,1167.46,0.748,8,42,rural,39975.64,driver,0.206,0.504,5,1,24.516659999999998,0.477,0
17,1707.23,1.0,9,59,rural,14727.6,student,0.296,0.821,3,1,29.02291,0.648,0
28,245.62,0.501,4,42,rural,20671.38,student,0.164,0.586,15,0,6.87736,0.3325,0
14,429.75,0.631,2,35,rural,63211.75,student,0.327,0.555,12,1,6.0165,0.479,0
17,914.7,0.925,15,57,urban,44752.06,driver,0.15,0.62,7,1,15.549900000000001,0.5375,0
18,715.98,0.758,5,25,rural,28134.81,artisan,0.261,0.721,3,1,12.88764,0.5095000000000001,0
23,691.69,0.874,13,56,urban,41603.07,nurse,0.616,0.546,14,0,15.90887,0.745,0
12,193.78,0.916,7,57,urban,53908.76,farmer,0.292,0.845,7,1,2.3253600000000003,0.604,0
22,622.13,0.583,14,31,urban,50180.8,small_business,0.383,0.602,6,0,13.686860000000001,0.483,0
20,627.14,0.581,4,49,rural,28143.79,artisan,0.357,0.313,3,0,12.5428,0.469,0
14,959.4,1.0,12,55,rural,13644.54,teacher,0.01,0.667,0,1,13.4316,0.505,0
17,396.27,0.75,9,50,urban,34673.16,nurse,0.206,0.45,15,1,6.7365900000000005,0.478,0
14,1296.18,0.698,12,40,rural,61962.88,artisan,0.426,0.633,1,1,18.14652,0.5619999999999999,0
24,217.65,0.887,15,32,rural,57378.79,student,0.042,0.746,0,0,5.2236,0.4645,0
14,1627.09,0.996,4,50,urban,49387.26,farmer,0.194,0.562,7,0,22.779259999999997,0.595,0
27,441.14,0.96,8,42,urban,38924.15,driver,0.54,0.371,10,1,11.910779999999999,0.75,0
16,1571.14,0.903,3,34,rural,32698.56,gig_worker,0.051,0.499,18,1,25.138240000000003,0.47700000000000004,0
18,475.04,1.0,12,50,urban,39258.09,farmer,0.393,0.914,10,0,8.550720000000002,0.6965,0
13,1265.29,0.912,14,19,rural,56071.89,nurse,0.091,0.714,0,1,16.44877,0.5015000000000001,0
20,667.58,0.72,12,31,urban,60183.43,gig_worker,0.305,0.834,1,1,13.351600000000001,0.5125,0
15,890.29,0.867,6,57,urban,37287.84,driver,0.33,0.98,18,0,13.354349999999998,0.5985,0
12,1150.92,0.961,15,57,rural,87652.16,farmer,0.341,1.051,7,1,13.81104,0.651,0
21,683.22,0.674,6,56,rural,43663.27,teacher,0.079,0.718,0,0,14.347620000000001,0.3765,0
19,50.0,0.718,3,23,rural,35754.8,small_business,0.396,0.629,0,0,0.95,0.5569999999999999,0
9,532.01,0.855,2,23,rural,68562.05,small_business,0.114,0.567,12,0,4.78809,0.4845,0
26,597.24,0.944,6,20,rural,6000.0,nurse,0.01,0.698,1,1,15.52824,0.477,0
15,1714.26,0.816,7,24,rural,50640.61,artisan,0.073,0.763,7,1,25.713900000000002,0.44449999999999995,0
24,826.39,0.866,7,25,urban,40689.63,driver,0.095,0.807,5,0,19.83336,0.4805,0
20,935.3,0.372,10,59,urban,68067.32,driver,0.334,0.497,20,1,18.706,0.353,0
22,792.19,1.0,11,32,urban,52888.62,small_business,0.373,0.5,0,1,17.42818,0.6865,0
22,958.96,0.96,1,46,rural,44503.84,farmer,0.242,0.637,17,1,21.097120000000004,0.601,0
10,231.11,0.951,12,50,urban,53927.41,driver,0.076,0.68,23,0,2.3111,0.5135,0
24,506.48,0.936,6,47,rural,22999.52,teacher,0.141,0.971,0,0,12.155520000000001,0.5385,0
19,1181.27,0.952,9,56,urban,59402.76,teacher,0.207,0.255,0,1,22.44413,0.5795,0
27,738.4,1.0,13,44,rural,17797.46,driver,0.035,0.571,10,0,19.936799999999998,0.5175,0
24,799.35,1.0,9,53,rural,48452.95,driver,0.054,0.832,8,0,19.1844,0.527,0
15,839.9,0.897,15,46,urban,42641.06,small_business,0.219,0.5,17,0,12.5985,0.558,0
14,1194.05,0.965,12,55,rural,10265.02,nurse,0.189,0.676,0,1,16.7167,0.577,0
15,529.58,0.87,2,50,urban,43240.96,small_business,0.055,0.853,9,0,7.943700000000001,0.4625,0
24,899.96,0.683,4,54,urban,47075.76,nurse,0.415,0.799,11,1,21.599040000000002,0.549,0
14,50.0,0.729,6,44,rural,30212.23,student,0.115,0.803,8,1,0.7,0.422,0
23,50.0,0.744,4,50,urban,23776.4,teacher,0.042,0.643,5,0,1.15,0.393,0
35,725.67,0.789,12,21,rural,50859.19,nurse,0.413,0.702,7,1,25.398449999999997,0.601,0
19,297.38,0.777,9,39,urban,48521.67,small_business,0.266,0.71,29,1,5.65022,0.5215000000000001,0
20,1341.63,0.612,15,19,urban,46082.74,driver,0.177,0.584,0,0,26.832600000000003,0.39449999999999996,0
20,315.95,0.858,2,27,rural,42159.15,nurse,0.115,0.83,23,0,6.319,0.4865,0
27,786.11,0.953,10,22,urban,31801.87,small_business,0.165,0.445,4,1,21.224970000000003,0.5589999999999999,0
19,1251.21,0.736,6,27,rural,82899.27,teacher,0.11,0.56,0,1,23.77299,0.423,0
12,1096.64,0.762,1,50,rural,36630.04,gig_worker,0.142,0.831,0,0,13.15968,0.452,0
25,577.63,0.956,9,55,urban,26427.96,student,0.246,0.325,7,0,14.44075,0.601,0
18,655.05,0.854,1,30,urban,42979.69,nurse,0.084,0.706,8,0,11.790899999999999,0.469,0
33,1087.34,0.979,13,48,urban,38743.06,teacher,0.01,0.878,8,0,35.88222,0.4945,0
24,1253.44,0.952,13,53,urban,36212.77,teacher,0.474,0.542,5,1,30.08256,0.713,0
27,1598.47,0.678,12,41,urban,75736.97,farmer,0.038,0.754,19,0,43.15869,0.35800000000000004,0
27,1252.6,0.861,14,32,urban,21664.54,gig_worker,0.01,0.702,0,1,33.8202,0.4355,0
14,1192.69,0.928,8,46,urban,42673.87,nurse,0.402,0.798,5,1,16.69766,0.665,0
18,1021.3,0.695,13,25,urban,22871.89,small_business,0.15,0.683,7,0,18.383399999999998,0.4225,0
31,910.43,0.61,15,22,rural,32261.55,nurse,0.271,0.887,7,0,28.223329999999997,0.4405,0
23,664.54,0.817,9,46,rural,73250.09,nurse,0.346,0.747,0,1,15.284419999999999,0.5814999999999999,0
20,1099.23,0.442,1,21,rural,47066.01,gig_worker,0.359,0.835,8,0,21.984599999999997,0.40049999999999997,0
20,731.77,0.222,1,29,urban,46848.67,artisan,0.297,0.826,10,0,14.635399999999999,0.2595,0
31,1198.24,0.928,10,19,rural,25089.34,teacher,0.119,0.924,10,0,37.14544,0.5235000000000001,0
21,1211.18,0.683,14,44,urban,34356.81,teacher,0.026,0.506,11,1,25.434780000000003,0.35450000000000004,0
15,1085.11,0.766,7,48,rural,74816.19,teacher,0.49,0.457,2,1,16.276649999999997,0.628,0
25,538.86,0.863,10,53,rural,50988.52,teacher,0.24,0.868,0,1,13.4715,0.5515,0
27,805.86,0.813,5,53,urban,35885.13,gig_worker,0.29,0.709,1,0,21.75822,0.5515,0
17,1391.93,0.682,15,43,rural,49930.93,small_business,0.147,1.017,2,1,23.66281,0.41450000000000004,0
19,50.0,1.0,11,60,rural,46817.95,driver,0.269,0.285,0,1,0.95,0.6345000000000001,0
19,945.04,0.806,3,44,rural,26890.09,farmer,0.157,0.667,6,0,17.955759999999998,0.48150000000000004,0
26,1228.53,1.0,9,22,rural,35361.45,artisan,0.177,0.677,7,0,31.941779999999998,0.5885,0
25,1067.31,0.651,2,37,urban,82581.65,artisan,0.018,0.841,0,0,26.68275,0.3345,0
24,1884.68,0.752,6,28,urban,49056.05,student,0.287,1.031,11,0,45.23232,0.5195,0
15,50.0,0.824,4,27,urban,13757.24,teacher,0.01,0.681,6,1,0.75,0.417,0
13,258.18,0.833,5,57,rural,51183.78,student,0.389,0.756,11,1,3.3563400000000003,0.611,0
21,941.16,0.998,2,55,urban,65455.59,teacher,0.507,0.358,4,0,19.76436,0.7525,0
14,1315.98,0.401,1,23,rural,25721.19,farmer,0.153,0.732,4,1,18.42372,0.277,0
23,878.68,1.0,9,25,urban,33776.84,teacher,0.353,0.733,13,1,20.20964,0.6765,0
33,1509.0,0.483,3,40,urban,68167.88,driver,0.162,0.577,0,1,49.797,0.3225,0
18,561.38,0.68,6,43,urban,42628.42,artisan,0.219,0.734,7,0,10.10484,0.4495,0
28,713.57,0.829,15,60,rural,39428.19,nurse,0.137,0.725,10,0,19.979960000000002,0.483,0
29,1231.34,0.894,14,29,urban,17950.96,farmer,0.156,0.971,15,1,35.70886,0.525,0
32,673.13,0.784,9,43,urban,61270.19,artisan,0.156,0.543,10,0,21.54016,0.47000000000000003,0
19,1318.44,0.734,15,30,urban,38607.56,small_business,0.01,0.52,0,0,25.05036,0.372,0
15,1197.38,0.821,1,57,urban,6000.0,artisan,0.269,0.527,4,1,17.9607,0.5449999999999999,0
17,641.83,0.748,12,35,urban,13692.52,farmer,0.01,0.602,0,0,10.91111,0.379,0
15,999.78,1.0,5,42,rural,31891.55,driver,0.161,0.393,3,0,14.996699999999999,0.5805,0
19,610.99,0.945,4,50,urban,22688.84,gig_worker,0.01,0.633,15,1,11.60881,0.4775,0
12,403.87,0.9,15,57,urban,25512.69,small_business,0.164,0.686,17,0,4.84644,0.532,0
25,654.34,1.0,3,60,rural,84204.06,nurse,0.259,0.95,6,1,16.3585,0.6295,0
32,760.28,0.883,2,29,rural,54735.41,teacher,0.424,0.658,20,1,24.32896,0.6535,0
28,905.86,0.777,14,53,rural,6000.0,farmer,0.213,0.908,3,1,25.36408,0.495,0
23,795.66,0.53,3,21,urban,36342.21,small_business,0.175,0.829,9,0,18.30018,0.35250000000000004,0
24,50.0,1.0,14,22,rural,40389.12,farmer,0.052,0.705,0,0,1.2,0.526,0
16,1345.43,1.0,1,54,rural,15415.19,nurse,0.089,0.654,7,1,21.526880000000002,0.5445,0
16,50.0,0.602,13,25,rural,51618.95,farmer,0.396,0.777,8,1,0.8,0.499,0
13,944.42,0.952,1,59,urban,6000.0,student,0.289,0.796,3,0,12.27746,0.6204999999999999,0
17,479.51,0.903,13,45,rural,61745.05,artisan,0.084,0.585,15,1,8.15167,0.4935,0
15,923.02,0.65,13,48,rural,67947.54,artisan,0.01,0.786,0,0,13.8453,0.33,0
12,737.93,1.0,8,26,urban,84346.53,small_business,0.466,0.664,0,1,8.85516,0.733,0
25,1023.86,0.85,5,46,urban,13662.07,driver,0.034,0.778,8,0,25.5965,0.442,0
22,1110.23,0.613,2,31,rural,17323.85,gig_worker,0.218,0.975,0,1,24.425060000000002,0.4155,0
31,1368.95,0.601,3,57,rural,54468.1,small_business,0.089,0.615,13,0,42.437450000000005,0.345,0
23,1236.57,0.895,15,58,urban,63288.24,farmer,0.055,0.323,6,1,28.44111,0.47500000000000003,0
18,870.69,0.648,14,39,rural,56561.15,nurse,0.248,0.67,12,1,15.672420000000002,0.448,0
19,1321.6,0.688,14,28,urban,61434.91,artisan,0.348,0.487,8,1,25.1104,0.518,0
19,595.59,0.896,2,40,urban,66782.89,teacher,0.319,0.727,10,0,11.316210000000002,0.6075,0
18,1690.45,0.701,15,18,rural,45640.51,teacher,0.31,0.499,7,1,30.4281,0.5055,0
22,552.81,0.735,10,54,urban,38174.1,nurse,0.066,0.66,16,0,12.16182,0.40049999999999997,0
20,615.11,0.678,2,38,urban,17372.81,farmer,0.245,0.973,15,0,12.302200000000001,0.4615,0
25,50.0,0.941,4,43,rural,36634.1,gig_worker,0.27,1.01,10,0,1.25,0.6054999999999999,0
23,516.13,1.0,12,53,urban,39392.01,student,0.01,0.745,10,0,11.870989999999999,0.505,0
20,716.47,0.513,4,40,urban,24905.68,nurse,0.01,0.518,12,1,14.329400000000001,0.2615,0
18,713.84,0.643,7,18,rural,41311.96,farmer,0.228,0.837,7,0,12.849120000000001,0.4355,0
17,1691.45,0.416,2,57,rural,22877.18,small_business,0.096,0.596,10,1,28.75465,0.256,0
21,1142.5,0.843,9,32,rural,62039.98,gig_worker,0.026,0.412,3,0,23.9925,0.4345,0
21,1319.5,0.857,7,38,rural,49664.84,student,0.01,1.032,0,1,27.7095,0.4335,0
23,850.06,0.649,4,26,urban,33727.13,student,0.114,0.678,7,0,19.551379999999998,0.3815,0
19,499.46,0.741,12,26,rural,45399.13,driver,0.456,0.779,15,1,9.48974,0.5985,0
14,1939.45,0.902,7,27,urban,22108.38,farmer,0.349,0.621,12,1,27.1523,0.6255,0
25,799.54,1.0,15,43,rural,23933.53,student,0.44,0.776,0,0,19.9885,0.72,0
15,1172.24,0.687,10,58,urban,30590.62,teacher,0.109,0.531,3,1,17.583599999999997,0.398,0
24,376.23,0.84,11,52,rural,38545.29,teacher,0.381,0.659,5,1,9.02952,0.6105,0
25,264.69,0.918,1,42,urban,44541.63,artisan,0.406,0.845,0,0,6.61725,0.662,0
21,1597.91,1.0,13,43,urban,44612.81,gig_worker,0.443,0.648,2,1,33.556110000000004,0.7215,0
18,1066.25,0.892,7,28,rural,18262.0,student,0.182,0.528,0,0,19.1925,0.537,0
12,738.77,1.0,13,55,rural,40546.88,driver,0.148,0.846,5,1,8.86524,0.574,0
32,755.68,0.561,6,19,rural,27275.0,farmer,0.207,0.615,4,0,24.181759999999997,0.384,0
15,332.45,0.894,15,24,urban,6000.0,driver,0.234,0.611,13,0,4.98675,0.5640000000000001,0
19,569.47,0.772,9,35,urban,97360.54,artisan,0.024,0.477,9,1,10.819930000000001,0.398,0
18,1062.86,0.816,8,44,rural,27624.29,small_business,0.134,0.959,15,0,19.13148,0.475,0
18,872.82,0.601,2,51,rural,28623.26,driver,0.387,0.872,0,0,15.71076,0.494,0
18,1226.41,1.0,15,44,rural,17764.15,small_business,0.136,0.634,0,0,22.075380000000003,0.5680000000000001,0
15,50.0,0.925,11,34,rural,22965.13,teacher,0.231,0.523,10,1,0.75,0.5780000000000001,0
17,937.15,0.858,3,60,rural,38603.9,small_business,0.291,0.802,9,0,15.93155,0.5745,0
29,1239.92,0.512,13,41,rural,66332.64,farmer,0.407,0.752,5,1,35.95768,0.4595,0
18,50.0,0.984,3,42,rural,38501.72,gig_worker,0.311,0.606,14,0,0.9,0.6475,0
16,333.0,0.7,13,24,rural,36175.88,gig_worker,0.36,0.663,7,0,5.328,0.53,0
16,126.98,0.679,14,23,rural,63604.93,farmer,0.285,0.786,23,0,2.03168,0.482,0
33,1498.26,0.549,12,41,rural,32560.86,farmer,0.264,0.721,8,1,49.44258,0.40650000000000003,0
21,886.05,0.76,6,50,rural,42380.69,farmer,0.351,0.747,3,0,18.60705,0.5555,0
19,920.57,0.72,2,46,rural,25411.74,nurse,0.01,0.727,18,0,17.490830000000003,0.365,0
13,1417.23,1.0,11,60,urban,72332.4,student,0.326,0.811,8,1,18.42399,0.663,0
22,794.6,0.639,2,39,urban,60873.18,artisan,0.01,0.58,12,0,17.4812,0.3245,0
24,525.07,0.691,4,43,rural,39246.23,small_business,0.143,0.709,1,1,12.60168,0.417,0
19,935.6,0.714,1,45,rural,34810.02,student,0.354,0.55,10,0,17.776400000000002,0.534,0
14,1065.11,0.673,1,38,rural,41426.89,farmer,0.195,0.563,7,0,14.911539999999999,0.43400000000000005,0
34,284.58,0.581,1,24,rural,39509.11,gig_worker,0.209,1.023,12,0,9.67572,0.39499999999999996,0
34,1633.21,0.937,5,34,rural,14157.25,driver,0.256,0.424,5,0,55.52914,0.5965,0
16,50.0,0.789,13,37,urban,61488.01,driver,0.499,0.8,0,0,0.8,0.644,0
16,1013.23,0.723,9,58,rural,37911.52,nurse,0.01,1.169,12,0,16.21168,0.3665,0
15,1686.85,0.703,4,37,rural,41564.79,student,0.112,0.998,7,0,25.30275,0.4075,0
16,910.52,0.843,14,39,urban,49592.68,student,0.429,0.781,3,0,14.56832,0.636,0
19,50.0,0.704,8,45,urban,6000.0,student,0.182,1.024,8,0,0.95,0.44299999999999995,0
10,1593.3,0.808,7,57,urban,18930.78,small_business,0.191,0.752,9,0,15.933,0.49950000000000006,0
16,609.39,0.906,13,24,urban,6000.0,small_business,0.322,0.627,11,0,9.75024,0.614,0
13,1240.44,0.882,6,18,urban,18707.14,artisan,0.033,0.684,10,0,16.12572,0.4575,0
31,1059.46,1.0,14,49,urban,12595.17,small_business,0.352,0.842,17,0,32.84326,0.6759999999999999,0
19,841.89,0.996,9,30,urban,46546.21,gig_worker,0.165,1.054,5,0,15.99591,0.5805,0
17,50.0,0.879,10,47,urban,36310.46,gig_worker,0.195,0.871,15,1,0.85,0.537,0
23,1053.48,0.889,1,40,urban,55329.72,student,0.098,0.664,5,1,24.230040000000002,0.4935,0
22,1219.05,1.0,7,36,rural,41314.21,artisan,0.296,0.565,0,1,26.8191,0.648,0
